sample,outcome,specification,n,people,term,status,coefficient,cluster_se,ci_low,ci_high,p_value,primary_bh_q_value,congruence_bh_q_value
D,candidate_cmo,issue_total:family:environment_resources,20,20,issue_conservative_environment_resources,estimated,-1.7943110877940471,15.011055845677848,-31.21598054532263,27.627358369734537,0.9061082377222596,,
D,candidate_cmo,issue_mediator_adjusted:family:environment_resources,18,18,issue_conservative_environment_resources,estimated,17.95584155814623,9.37417450811738,-0.41754047776383274,36.32922359405629,0.07241086238689176,,
D,candidate_cmo,issue_district_congruence:family:environment_resources,20,20,issue_conservative_environment_resources,estimated,32.63970066727351,15.033357304269085,3.174320350906104,62.10508098364092,0.04279324430140483,,
D,candidate_cmo,issue_district_congruence:family:environment_resources,20,20,issue_congruence_environment_resources,estimated,-41.944883423752955,16.022973401360336,-73.34991129041921,-10.5398555570867,0.016929300288342993,,
D:2008_2014,candidate_cmo,issue_era:family:environment_resources,10,10,issue_conservative_environment_resources,underpowered,,,,,,,
D:post_2016,candidate_cmo,issue_era:family:environment_resources,2,2,issue_conservative_environment_resources,underpowered,,,,,,,
D:pre_2008,candidate_cmo,issue_era:family:environment_resources,8,8,issue_conservative_environment_resources,underpowered,,,,,,,
D,candidate_statewide_overperformance,issue_total:family:environment_resources,20,20,issue_conservative_environment_resources,estimated,-2.0150709514006593,14.915409616924276,-31.24927380057224,27.21913189777092,0.8939538342322668,,
D,candidate_statewide_overperformance,issue_mediator_adjusted:family:environment_resources,18,18,issue_conservative_environment_resources,estimated,17.496834590141056,9.302724689909313,-0.7365058020811972,35.73017498236331,0.07723839370204348,,
D,candidate_statewide_overperformance,issue_district_congruence:family:environment_resources,20,20,issue_conservative_environment_resources,estimated,32.42389867960932,14.988622678143392,3.046198230448276,61.80159912877037,0.04347792260692195,,
D,candidate_statewide_overperformance,issue_district_congruence:family:environment_resources,20,20,issue_congruence_environment_resources,estimated,-41.96282164231099,15.999556854620279,-73.32195307736674,-10.603690207255248,0.01675092803416028,,
D:2008_2014,candidate_statewide_overperformance,issue_era:family:environment_resources,10,10,issue_conservative_environment_resources,underpowered,,,,,,,
D:post_2016,candidate_statewide_overperformance,issue_era:family:environment_resources,2,2,issue_conservative_environment_resources,underpowered,,,,,,,
D:pre_2008,candidate_statewide_overperformance,issue_era:family:environment_resources,8,8,issue_conservative_environment_resources,underpowered,,,,,,,
D,candidate_federal_overperformance,issue_total:family:environment_resources,20,20,issue_conservative_environment_resources,estimated,13.892899965247139,19.395449358864077,-24.12218077812645,51.90798070862073,0.4825201782810754,,
D,candidate_federal_overperformance,issue_mediator_adjusted:family:environment_resources,18,18,issue_conservative_environment_resources,estimated,31.320486641020732,17.543134990076545,-3.0640579395292953,65.70503122157076,0.09205814075363834,,
D,candidate_federal_overperformance,issue_district_congruence:family:environment_resources,20,20,issue_conservative_environment_resources,estimated,55.86143627856396,15.378747569486604,25.719091042370213,86.0037815147577,0.0017728638910198414,,
D,candidate_federal_overperformance,issue_district_congruence:family:environment_resources,20,20,issue_congruence_environment_resources,estimated,-53.5406275118027,20.66616000570832,-94.046301122991,-13.03495390061439,0.017935997254049832,,
D:2008_2014,candidate_federal_overperformance,issue_era:family:environment_resources,10,10,issue_conservative_environment_resources,underpowered,,,,,,,
D:post_2016,candidate_federal_overperformance,issue_era:family:environment_resources,2,2,issue_conservative_environment_resources,underpowered,,,,,,,
D:pre_2008,candidate_federal_overperformance,issue_era:family:environment_resources,8,8,issue_conservative_environment_resources,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_total:family:environment_resources,19,19,issue_conservative_environment_resources,estimated,12.50975077111087,16.233355119043516,-19.307625262214422,44.32712680443616,0.4509292558023884,,
D,candidate_presidential_overperformance,issue_mediator_adjusted:family:environment_resources,17,17,issue_conservative_environment_resources,underpowered,,,,,,,
D,candidate_presidential_overperformance,issue_district_congruence:family:environment_resources,19,19,issue_conservative_environment_resources,estimated,59.267489613121455,12.275088899961833,35.208315369196264,83.32666385704664,0.00013482057063543594,,
