people_id,chamber,member_display_name_roster,party_roster,first_session,last_session,legislative_sessions,member_source_id,candidate_cycles_linked,latest_candidate_id,latest_resolved_name,member_display_name,party,district,behavioral_ideology,chamber_percentile,votes_used,possible_votes,participation_rate,caucus_median,distance_from_caucus_median,normalized_name,surname,legislative_issue_abortion_access,legislative_issue_anti_discrimination,legislative_issue_business_subsidy,legislative_issue_campaign_finance_disclosure,legislative_issue_campaign_finance_restrictions,legislative_issue_christian_sexual_morality,legislative_issue_civil_social_liberty,legislative_issue_confederate_commemoration,legislative_issue_criminal_punishment,legislative_issue_digital_content_regulation,legislative_issue_digital_privacy,legislative_issue_drug_criminalization,legislative_issue_due_process,legislative_issue_economic_stimulus,legislative_issue_education_access,legislative_issue_education_accountability,legislative_issue_education_curriculum_traditionalism,legislative_issue_education_market_choice,legislative_issue_education_public_funding,legislative_issue_education_teacher_labor,legislative_issue_election_integrity_controls,legislative_issue_environmental_protection,legislative_issue_federalism,legislative_issue_gambling_policy,legislative_issue_government_ethics_transparency,legislative_issue_gun_access,legislative_issue_gun_purchase_regulation,legislative_issue_healthcare_access,legislative_issue_healthcare_regulation_patient_rights,legislative_issue_immigrant_public_benefits,legislative_issue_immigration_access,legislative_issue_immigration_enforcement,legislative_issue_incarceration,legislative_issue_institutional_populism,legislative_issue_labor_rights,legislative_issue_land_use_property_rights,legislative_issue_malpractice_liability,legislative_issue_market_governance,legislative_issue_police_authority,legislative_issue_public_employee_compensation,legislative_issue_public_private_provision,legislative_issue_public_spending,legislative_issue_racial_civil_rights,legislative_issue_religion_state,legislative_issue_security_preparedness,legislative_issue_surveillance_authority,legislative_issue_tax_burden,legislative_issue_trade_openness,legislative_issue_voting_access,legislative_issue_welfare_conditionality,legislative_issue_votes_abortion_access,legislative_issue_votes_anti_discrimination,legislative_issue_votes_business_subsidy,legislative_issue_votes_campaign_finance_disclosure,legislative_issue_votes_campaign_finance_restrictions,legislative_issue_votes_christian_sexual_morality,legislative_issue_votes_civil_social_liberty,legislative_issue_votes_confederate_commemoration,legislative_issue_votes_criminal_punishment,legislative_issue_votes_digital_content_regulation,legislative_issue_votes_digital_privacy,legislative_issue_votes_drug_criminalization,legislative_issue_votes_due_process,legislative_issue_votes_economic_stimulus,legislative_issue_votes_education_access,legislative_issue_votes_education_accountability,legislative_issue_votes_education_curriculum_traditionalism,legislative_issue_votes_education_market_choice,legislative_issue_votes_education_public_funding,legislative_issue_votes_education_teacher_labor,legislative_issue_votes_election_integrity_controls,legislative_issue_votes_environmental_protection,legislative_issue_votes_federalism,legislative_issue_votes_gambling_policy,legislative_issue_votes_government_ethics_transparency,legislative_issue_votes_gun_access,legislative_issue_votes_gun_purchase_regulation,legislative_issue_votes_healthcare_access,legislative_issue_votes_healthcare_regulation_patient_rights,legislative_issue_votes_immigrant_public_benefits,legislative_issue_votes_immigration_access,legislative_issue_votes_immigration_enforcement,legislative_issue_votes_incarceration,legislative_issue_votes_institutional_populism,legislative_issue_votes_labor_rights,legislative_issue_votes_land_use_property_rights,legislative_issue_votes_malpractice_liability,legislative_issue_votes_market_governance,legislative_issue_votes_police_authority,legislative_issue_votes_public_employee_compensation,legislative_issue_votes_public_private_provision,legislative_issue_votes_public_spending,legislative_issue_votes_racial_civil_rights,legislative_issue_votes_religion_state,legislative_issue_votes_security_preparedness,legislative_issue_votes_surveillance_authority,legislative_issue_votes_tax_burden,legislative_issue_votes_trade_openness,legislative_issue_votes_voting_access,legislative_issue_votes_welfare_conditionality,legislative_source_votes_frontier_manual_review:exact_ontology_v3_pair,legislative_source_votes_frontier_manual_review:historical_frontier:abortion_restriction,legislative_source_votes_frontier_manual_review:historical_frontier:broad_tax_increase,legislative_source_votes_frontier_manual_review:historical_frontier:business_subsidy_expansion,legislative_source_votes_frontier_manual_review:historical_frontier:environmental_protection_expansion,legislative_source_votes_frontier_manual_review:historical_frontier:government_transparency_expansion,legislative_source_votes_frontier_manual_review:historical_frontier:healthcare_access_expansion,legislative_source_votes_frontier_manual_review:historical_frontier:occupational_deregulation,legislative_source_votes_frontier_manual_review:historical_frontier:public_education_expansion,legislative_source_votes_frontier_manual_review:historical_frontier:public_education_reduction,legislative_source_votes_frontier_manual_review:historical_frontier:public_employee_compensation_expansion,legislative_source_votes_frontier_manual_review:historical_frontier:punishment_expansion,legislative_source_votes_frontier_manual_review:historical_frontier:punishment_reduction,legislative_source_votes_frontier_manual_review:historical_frontier:racial_rights_expansion_context,legislative_source_votes_frontier_manual_review:historical_frontier:religious_accommodation,legislative_source_votes_frontier_manual_review:historical_frontier:sexual_liberty_restriction_context,legislative_source_votes_frontier_manual_review:historical_frontier:tax_reduction,career_window_start,career_window_end,career_ideology_available
3354,house,John Knight,D,2010,2018,9,LEGISCAN-3354,3.0,AL-2014-house-77-D-JOHN-KNIGHT,John Knight,John Knight,D,HD-077,-2.64829213188916,3.9260969976905313,1415.0,6671.0,0.2121121271173737,-4.4602844971162574e-10,-2.6482921314431316,JOHN KNIGHT,KNIGHT,1.0,,1.0,-1.0,-1.0,,1.0,-1.0,0.0,,,-1.0,,1.0,1.0,1.0,,-0.6,,,,,,,-1.0,-1.0,-1.0,1.0,,1.0,1.0,-1.0,-1.0,,,,,-0.5,,1.0,1.0,0.0,,,1.0,,-0.7142857142857143,,1.0,,3.0,,1.0,1.0,1.0,,1.0,1.0,4.0,,,1.0,,1.0,1.0,2.0,,5.0,,,,,,,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,,,,,4.0,,1.0,2.0,2.0,,,1.0,,7.0,,1.0,,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3355,house,Ronald Grantland,D,2010,2010,1,LEGISCAN-3355,3.0,AL-2006-house-9-D-RONALD-GRANTLAND,RONALD GRANTLAND,Ronald Grantland,D,HD-009,-0.016091496149395704,17.551963048498845,44.0,6671.0,0.006595712786688653,-4.4602844971162574e-10,-0.016091495703367254,RONALD GRANTLAND,GRANTLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3356,house,Tammy Irons,D,2010,2010,1,LEGISCAN-3356,,,,Tammy Irons,D,SD-001,-0.018423162244477747,15.935334872979215,48.0,6671.0,0.007195323040023984,-4.4602844971162574e-10,-0.018423161798449297,TAMMY IRONS,IRONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3356,senate,Tammy Irons,D,2011,2014,4,LEGISCAN-3356,1.0,AL-2010-senate-1-D-TAMMY-L-IRONS,TAMMY L. IRONS,Tammy Irons,D,SD-001,-1.8027826632535562,7.142857142857142,907.0,3886.0,0.23340195573854863,-1.6714756153497598e-09,-1.8027826615820806,TAMMY IRONS,IRONS,,,,1.0,0.0,,,,0.0,,,,,,,1.0,,-0.3333333333333333,,1.0,1.0,,,,1.0,,,,,-1.0,-1.0,1.0,,,,,,-1.0,,0.3333333333333333,,,,,,,-1.0,,,,,,,1.0,2.0,,,,2.0,,,,,,,2.0,,3.0,,1.0,1.0,,,,1.0,,,,,2.0,2.0,2.0,,,,,,1.0,,3.0,,,,,,,1.0,,,,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3357,house,Laura Hall,D,2010,2026,17,LEGISCAN-3357,6.0,AL-2022-house-19-D-GSL019DHAL,Laura Hall,Laura Hall,D,HD-019,-3.800326408055891,0.9237875288683602,2104.0,6671.0,0.31539499325438464,-4.4602844971162574e-10,-3.8003264076098624,LAURA HALL,HALL,0.3333333333333333,1.0,1.0,1.0,1.0,-1.0,-0.1111111111111111,-1.0,-0.3333333333333333,,,,1.0,1.0,1.0,0.3333333333333333,-1.0,-0.5,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,,-0.3333333333333333,1.0,-1.0,0.2727272727272727,-0.3333333333333333,,1.0,0.3333333333333333,,-0.3333333333333333,1.0,1.0,0.06666666666666667,,1.0,-1.0,3.0,1.0,3.0,1.0,1.0,1.0,9.0,1.0,9.0,,,,4.0,1.0,1.0,3.0,4.0,8.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,,3.0,1.0,1.0,11.0,3.0,,1.0,3.0,,3.0,1.0,1.0,15.0,,5.0,2.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3358,house,Artis McCampbell,D,2010,2026,17,LEGISCAN-3358,5.0,AL-2022-house-71-D-GSL071DMCC,Artis McCampbell,Artis McCampbell,D,HD-071,-3.396311108457528,2.5404157043879905,2081.0,6671.0,0.3119472342977065,-4.4602844971162574e-10,-3.3963111080114996,ARTIS MCCAMPBELL,MCCAMPBELL,1.0,1.0,1.0,,,,-0.1111111111111111,-1.0,0.0,,,-1.0,1.0,0.0,0.0,0.3333333333333333,-1.0,0.1111111111111111,1.0,1.0,-0.3333333333333333,1.0,-1.0,0.6,0.3333333333333333,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,,-0.5,,1.0,0.0,-0.3333333333333333,1.0,1.0,0.3333333333333333,,0.0,1.0,1.0,-0.2857142857142857,,1.0,0.0,3.0,1.0,4.0,,,,9.0,1.0,12.0,,,1.0,4.0,2.0,2.0,3.0,4.0,9.0,4.0,1.0,6.0,1.0,2.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,,4.0,,1.0,12.0,3.0,2.0,1.0,6.0,,2.0,2.0,2.0,14.0,,5.0,2.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3359,house,James Thomas,D,2010,2010,1,LEGISCAN-3359,2.0,AL-2006-house-69-D-JAMES-LOUIS-THOMAS,JAMES LOUIS THOMAS,James Thomas,D,HD-069,-0.013869488878466141,18.244803695150118,40.0,6671.0,0.00599610253335332,-4.4602844971162574e-10,-0.01386948843243769,JAMES THOMAS,THOMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3360,house,Barbara Boyd,D,2010,2026,17,LEGISCAN-3360,7.0,AL-2022-house-32-D-GSL032DBOY,Barbara Boyd,Barbara Boyd,D,HD-032,-3.701049862128612,1.3856812933025404,2468.0,6671.0,0.36995952630789986,-4.4602844971162574e-10,-3.7010498616825833,BARBARA BOYD,BOYD,1.0,1.0,0.6,1.0,1.0,,-0.42857142857142855,-1.0,0.3333333333333333,,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,-0.25,1.0,-1.0,0.42857142857142855,1.0,-1.0,0.6,0.0,-0.5,0.0,1.0,,1.0,,-1.0,-1.0,,-0.5,-1.0,1.0,0.3333333333333333,-1.0,0.0,1.0,0.3333333333333333,,-0.3333333333333333,1.0,1.0,0.0,,0.6,-0.3333333333333333,3.0,1.0,5.0,1.0,1.0,,14.0,1.0,15.0,,1.0,1.0,4.0,2.0,2.0,4.0,4.0,8.0,4.0,1.0,7.0,1.0,2.0,5.0,2.0,4.0,2.0,2.0,,1.0,,2.0,5.0,,4.0,1.0,1.0,15.0,2.0,2.0,1.0,6.0,,3.0,2.0,4.0,16.0,,5.0,3.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3361,house,Joseph Mitchell,D,2010,2014,5,LEGISCAN-3361,3.0,AL-2010-house-103-D-JOSEPH-C-MITCHELL,JOSEPH C. MITCHELL,Joseph Mitchell,D,HD-103,-0.4253412437850735,12.933025404157044,195.0,6671.0,0.029230999850097437,-4.4602844971162574e-10,-0.42534124333904505,JOSEPH MITCHELL,MITCHELL,1.0,,,,,,,,-1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,-1.0,,,,,,,,,,,,,,,-1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,2.0,,1.0,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
3362,house,Jeff McLaughlin,D,2010,2010,1,LEGISCAN-3362,3.0,AL-2014-house-27-D-JEFF-MCLAUGHLIN,Jeff McLaughlin,Jeff McLaughlin,D,HD-027,-0.021973372949879014,14.549653579676674,46.0,6671.0,0.006895517913356318,-4.4602844971162574e-10,-0.021973372503850563,JEFF MCLAUGHLIN,MCLAUGHLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,2026,True
