cycle,chamber,district,federal_office,contest,D,R,two_party_votes,dem_margin
1994,house,1.0,us_house,us_house_2,1934.0,6353.0,8287.0,-53.32448413177266
1994,house,1.0,us_house,us_house_5,5958.907004708559,5609.274706858989,11568.181711567548,3.0223617381455625
1994,house,2.0,us_house,us_house_5,5544.09299529144,5094.725293141011,10638.818288432452,4.223849773231158
1994,house,3.0,us_house,us_house_5,6621.185504950495,5087.45098349835,11708.636488448845,13.099172759913168
1994,house,4.0,us_house,us_house_5,6424.598226568367,8390.29986997741,14814.898096545778,-13.268411504412335
1994,house,5.0,us_house,us_house_5,5079.57664334488,6002.848262554274,11082.424905899154,-8.330953081558336
1994,house,6.0,us_house,us_house_5,6125.956033933424,7562.759571746401,13688.715605679825,-10.496262609304322
1994,house,7.0,us_house,us_house_5,924.0,297.0,1221.0,51.351351351351354
1994,house,8.0,us_house,us_house_5,5590.366937838378,6240.091701952762,11830.45863979114,-5.491965982866193
1994,house,9.0,us_house,us_house_5,5607.704259507177,7157.128729349684,12764.832988856862,-12.138227513004571
1994,house,10.0,us_house,us_house_5,5908.542918454936,8060.12017167382,13968.663090128755,-15.402886012329558
1994,house,11.0,us_house,us_house_5,1545.1671555022622,1800.9953537161825,3346.162509218445,-7.645420612690851
1994,house,14.0,us_house,us_house_6,793.8973384030418,2391.7604562737642,3185.657794676806,-50.158027662002226
1994,house,14.0,us_house,us_house_7,12.92395437262357,7.528517110266157,20.452471482889727,26.380368098159508
1994,house,15.0,us_house,us_house_6,2169.1855720165995,9593.405240049955,11762.590812066555,-63.11721445259562
1994,house,15.0,us_house,us_house_7,928.139839459231,2120.5031685678073,3048.6430080270384,-39.11128085410783
1994,house,16.0,us_house,us_house_7,340.1101549053356,135.35972461273667,475.4698795180723,43.062755205467546
1994,house,18.0,us_house,us_house_5,1707.814495049505,1324.5490165016502,3032.363511551155,12.639166679320772
1994,house,19.0,us_house,us_house_5,6924.892665579467,2036.0365665375393,8960.929232117007,54.55746800811351
1994,house,20.0,us_house,us_house_5,8493.886310360995,8945.18366150961,17439.069971870606,-2.5878521726018837
1994,house,21.0,us_house,us_house_5,5641.887142393472,4667.782712013724,10309.669854407195,9.44845416134577
1994,house,22.0,us_house,us_house_5,5470.0556350880715,4849.347148968589,10319.40278405666,6.014965198165043
1994,house,23.0,us_house,us_house_5,4455.366071428572,3001.40625,7456.772321428572,19.498514353862173
1994,house,30.0,us_house,us_house_3,2293.568075049288,1689.7500363930976,3983.3181114423855,15.158669776377561
1994,house,31.0,us_house,us_house_2,1878.3405905671123,7033.362443735897,8911.70303430301,-57.84553001066156
1994,house,31.0,us_house,us_house_3,2454.0,986.0,3440.0,42.674418604651166
1994,house,32.0,us_house,us_house_3,5622.756038419718,1149.9835707590382,6772.739609178756,66.04081547146673
1994,house,33.0,us_house,us_house_3,6125.432268926539,3487.231454768241,9612.663723694779,27.445054669448734
1994,house,34.0,us_house,us_house_3,6062.173553719008,2488.6652892561983,8550.838842975207,41.791318139489476
1994,house,35.0,us_house,us_house_3,6761.580287695066,3252.2312554644564,10013.811543159522,35.045087648247794
1994,house,36.0,us_house,us_house_3,6599.05785123967,2998.8884297520663,9597.946280991735,37.509789241241776
1994,house,37.0,us_house,us_house_3,6831.1937152181745,4029.504073453341,10860.697788671516,25.796589650871198
1994,house,38.0,us_house,us_house_3,5573.304408199736,3548.6114091953364,9121.915817395073,22.195918483959293
